LECROYHDO6104,5494,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,24-Mar-2017 14:50:50,0                 
Time,Ampl
-0.04542,9.99526
-0.04541,9.98689
-0.0454,9.97602
-0.04539,9.9644
-0.04538,9.95528
-0.04537,9.94841
-0.04536,9.94141
-0.04535,9.93417
-0.04534,9.9253
-0.04533,9.91455
-0.04532,9.90368
-0.04531,9.89431
-0.0453,9.88706
-0.04529,9.88057
-0.04528,9.8722
-0.04527,9.8632
-0.04526,9.85121
-0.04525,9.84009
-0.04524,9.83097
-0.04523,9.82347
-0.04522,9.8171
-0.04521,9.8096
-0.0452,9.79948
-0.04519,9.78774
-0.04518,9.77674
-0.04517,9.768
-0.04516,9.76088
-0.04515,9.75438
-0.04514,9.74588
-0.04513,9.73539
-0.04512,9.72377
-0.04511,9.71352
-0.0451,9.70515
-0.04509,9.69791
-0.04508,9.69128
-0.04507,9.68179
-0.04506,9.67117
-0.04505,9.65917
-0.04504,9.64918
-0.04503,9.64118
-0.04502,9.63469
-0.04501,9.62794
-0.045,9.61894
-0.04499,9.60832
-0.04498,9.59758
-0.04497,9.58758
-0.04496,9.57984
-0.04495,9.57284
-0.04494,9.5656
-0.04493,9.55697
-0.04492,9.54561
-0.04491,9.53424
-0.0449,9.52462
-0.04489,9.51737
-0.04488,9.5105
-0.04487,9.50325
-0.04486,9.49363
-0.04485,9.48251
-0.04484,9.47189
-0.04483,9.46377
-0.04482,9.4569
-0.04481,9.45053
-0.0448,9.44328
-0.04479,9.43353
-0.04478,9.42254
-0.04477,9.41242
-0.04476,9.40467
-0.04475,9.39818
-0.04474,9.3918
-0.04473,9.38393
-0.04472,9.37406
-0.04471,9.36332
-0.0447,9.3532
-0.04469,9.34583
-0.04468,9.33896
-0.04467,9.33246
-0.04466,9.32396
-0.04465,9.31384
-0.04464,9.30197
-0.04463,9.29248
-0.04462,9.28486
-0.04461,9.27786
-0.0446,9.27136
-0.04459,9.26212
-0.04458,9.252
-0.04457,9.24038
-0.04456,9.23063
-0.04455,9.22289
-0.04454,9.21677
-0.04453,9.20939
-0.04452,9.20065
-0.04451,9.1884
-0.0445,9.17716
-0.04449,9.16841
-0.04448,9.16092
-0.04447,9.1548
-0.04446,9.14805
-0.04445,9.13843
-0.04444,9.12681
-0.04443,9.11581
-0.04442,9.10719
-0.04441,9.1002
-0.0444,9.09382
-0.04439,9.08583
-0.04438,9.07583
-0.04437,9.06384
-0.04436,9.05309
-0.04435,9.04422
-0.04434,9.0376
-0.04433,9.03086
-0.04432,9.02298
-0.04431,9.01261
-0.0443,9.00075
-0.04429,8.99038
-0.04428,8.98213
-0.04427,8.97501
-0.04426,8.96851
-0.04425,8.96051
-0.04424,8.95002
-0.04423,8.93865
-0.04422,8.92828
-0.04421,8.92066
-0.0442,8.91391
-0.04419,8.90717
-0.04418,8.89792
-0.04417,8.8868
-0.04416,8.87481
-0.04415,8.86469
-0.04414,8.85632
-0.04413,8.85007
-0.04412,8.8432
-0.04411,8.83458
-0.0441,8.82333
-0.04409,8.81209
-0.04408,8.80297
-0.04407,8.79584
-0.04406,8.78947
-0.04405,8.78273
-0.04404,8.77386
-0.04403,8.76249
-0.04402,8.75149
-0.04401,8.743
-0.044,8.7355
-0.04399,8.72938
-0.04398,8.72263
-0.04397,8.71314
-0.04396,8.70152
-0.04395,8.69027
-0.04394,8.68228
-0.04393,8.67553
-0.04392,8.66853
-0.04391,8.66116
-0.0439,8.65117
-0.04389,8.63942
-0.04388,8.62893
-0.04387,8.62018
-0.04386,8.61318
-0.04385,8.60656
-0.04384,8.59882
-0.04383,8.5887
-0.04382,8.57708
-0.04381,8.56671
-0.0438,8.55771
-0.04379,8.55109
-0.04378,8.54409
-0.04377,8.5361
-0.04376,8.5251
-0.04375,8.51361
-0.04374,8.50349
-0.04373,8.49562
-0.04372,8.48837
-0.04371,8.482
-0.0437,8.47325
-0.04369,8.46251
-0.04368,8.45064
-0.04367,8.44102
-0.04366,8.43365
-0.04365,8.4269
-0.04364,8.4204
-0.04363,8.41141
-0.04362,8.40054
-0.04361,8.38892
-0.0436,8.37955
-0.04359,8.37193
-0.04358,8.36543
-0.04357,8.35893
-0.04356,8.34906
-0.04355,8.33744
-0.04354,8.32607
-0.04353,8.31745
-0.04352,8.31021
-0.04351,8.30346
-0.0435,8.29621
-0.04349,8.28684
-0.04348,8.27472
-0.04347,8.2641
-0.04346,8.25548
-0.04345,8.24824
-0.04344,8.24111
-0.04343,8.23324
-0.04342,8.22262
-0.04341,8.20988
-0.0434,8.19939
-0.04339,8.19076
-0.04338,8.18377
-0.04337,8.1769
-0.04336,8.16865
-0.04335,8.15766
-0.04334,8.14616
-0.04333,8.13579
-0.04332,8.12817
-0.04331,8.12142
-0.0433,8.11468
-0.04329,8.10618
-0.04328,8.09456
-0.04327,8.08344
-0.04326,8.0737
-0.04325,8.06607
-0.04324,8.0592
-0.04323,8.05208
-0.04322,8.04284
-0.04321,8.03059
-0.0432,8.0196
-0.04319,8.00973
-0.04318,8.00311
-0.04317,7.99611
-0.04316,7.98924
-0.04315,7.97999
-0.04314,7.96912
-0.04313,7.95825
-0.04312,7.95013
-0.04311,7.94363
-0.0431,7.93751
-0.04309,7.92939
-0.04308,7.91965
-0.04307,7.9079
-0.04306,7.89778
-0.04305,7.88979
-0.04304,7.88316
-0.04303,7.87667
-0.04302,7.8688
-0.04301,7.8593
-0.043,7.84781
-0.04299,7.83806
-0.04298,7.83006
-0.04297,7.82394
-0.04296,7.81732
-0.04295,7.80932
-0.04294,7.79846
-0.04293,7.78771
-0.04292,7.77822
-0.04291,7.77009
-0.0429,7.76422
-0.04289,7.75748
-0.04288,7.74935
-0.04287,7.73836
-0.04286,7.72662
-0.04285,7.71774
-0.04284,7.7105
-0.04283,7.7035
-0.04282,7.697
-0.04281,7.68838
-0.0428,7.67726
-0.04279,7.66677
-0.04278,7.65827
-0.04277,7.65078
-0.04276,7.64428
-0.04275,7.63691
-0.04274,7.62729
-0.04273,7.61617
-0.04272,7.60505
-0.04271,7.5963
-0.0427,7.58881
-0.04269,7.58206
-0.04268,7.57431
-0.04267,7.56419
-0.04266,7.55295
-0.04265,7.54195
-0.04264,7.53308
-0.04263,7.52646
-0.04262,7.51947
-0.04261,7.51134
-0.0426,7.50085
-0.04259,7.48961
-0.04258,7.47899
-0.04257,7.47061
-0.04256,7.46412
-0.04255,7.45775
-0.04254,7.4495
-0.04253,7.43876
-0.04252,7.42689
-0.04251,7.41677
-0.0425,7.40877
-0.04249,7.40202
-0.04248,7.3949
-0.04247,7.38616
-0.04246,7.37529
-0.04245,7.36342
-0.04244,7.3538
-0.04243,7.34643
-0.04242,7.33993
-0.04241,7.33318
-0.0424,7.32469
-0.04239,7.31357
-0.04238,7.3027
-0.04237,7.29333
-0.04236,7.2862
-0.04235,7.27971
-0.04234,7.27209
-0.04233,7.26259
-0.04232,7.25047
-0.04231,7.23985
-0.0423,7.23036
-0.04229,7.22373
-0.04228,7.21761
-0.04227,7.20899
-0.04226,7.199
-0.04225,7.18725
-0.04224,7.17638
-0.04223,7.16814
-0.04222,7.16064
-0.04221,7.15402
-0.0422,7.14665
-0.04219,7.13603
-0.04218,7.12478
-0.04217,7.11466
-0.04216,7.10667
-0.04215,7.09942
-0.04214,7.09267
-0.04213,7.08418
-0.04212,7.07306
-0.04211,7.06156
-0.0421,7.05194
-0.04209,7.0437
-0.04208,7.03733
-0.04207,7.03045
-0.04206,7.02196
-0.04205,7.01146
-0.04204,6.99984
-0.04203,6.99047
-0.04202,6.98373
-0.04201,6.9771
-0.042,6.97048
-0.04199,6.96161
-0.04198,6.94974
-0.04197,6.93887
-0.04196,6.93
-0.04195,6.92276
-0.04194,6.91638
-0.04193,6.90901
-0.04192,6.89914
-0.04191,6.88815
-0.0419,6.8774
-0.04189,6.86928
-0.04188,6.86291
-0.04187,6.85666
-0.04186,6.84904
-0.04185,6.83955
-0.04184,6.82893
-0.04183,6.81781
-0.04182,6.81019
-0.04181,6.80331
-0.0418,6.79669
-0.04179,6.78957
-0.04178,6.78008
-0.04177,6.77021
-0.04176,6.76158
-0.04175,6.75471
-0.04174,6.74897
-0.04173,6.74384
-0.04172,6.7371
-0.04171,6.72673
-0.0417,6.71698
-0.04169,6.71423
-0.04168,6.70911
-0.04167,6.70686
-0.04166,6.71361
-0.04165,6.71123
-0.04164,6.71136
-0.04163,6.72998
-0.04162,6.76946
-0.04161,6.83542
-0.0416,6.92763
-0.04159,7.02558
-0.04158,7.1394
-0.04157,7.27396
-0.04156,7.43513
-0.04155,7.62367
-0.04154,7.78434
-0.04153,7.91103
-0.04152,8.0231
-0.04151,8.12192
-0.0415,8.22637
-0.04149,8.32195
-0.04148,8.37792
-0.04147,8.42827
-0.04146,8.46263
-0.04145,8.49149
-0.04144,8.51748
-0.04143,8.53472
-0.04142,8.55246
-0.04141,8.5712
-0.0414,8.5817
-0.04139,8.59157
-0.04138,8.60094
-0.04137,8.61006
-0.04136,8.62018
-0.04135,8.6278
-0.04134,8.6333
-0.04133,8.63955
-0.04132,8.64467
-0.04131,8.64942
-0.0413,8.65466
-0.04129,8.65916
-0.04128,8.66403
-0.04127,8.66778
-0.04126,8.67103
-0.04125,8.67403
-0.04124,8.67753
-0.04123,8.68115
-0.04122,8.6844
-0.04121,8.68752
-0.0412,8.69027
-0.04119,8.69227
-0.04118,8.69427
-0.04117,8.69677
-0.04116,8.69964
-0.04115,8.70164
-0.04114,8.70414
-0.04113,8.70614
-0.04112,8.70764
-0.04111,8.70964
-0.0411,8.71151
-0.04109,8.71388
-0.04108,8.71588
-0.04107,8.71813
-0.04106,8.71988
-0.04105,8.72176
-0.04104,8.72301
-0.04103,8.72488
-0.04102,8.72713
-0.04101,8.72913
-0.041,8.731
-0.04099,8.73263
-0.04098,8.734
-0.04097,8.7355
-0.04096,8.73737
-0.04095,8.739
-0.04094,8.74125
-0.04093,8.74225
-0.04092,8.74412
-0.04091,8.74512
-0.0409,8.74674
-0.04089,8.74824
-0.04088,8.75024
-0.04087,8.75187
-0.04086,8.75287
-0.04085,8.75437
-0.04084,8.75524
-0.04083,8.75686
-0.04082,8.75861
-0.04081,8.76024
-0.0408,8.76136
-0.04079,8.76224
-0.04078,8.76361
-0.04077,8.76498
-0.04076,8.76598
-0.04075,8.76773
-0.04074,8.76873
-0.04073,8.77023
-0.04072,8.77136
-0.04071,8.77261
-0.0407,8.77323
-0.04069,8.77498
-0.04068,8.7761
-0.04067,8.77785
-0.04066,8.77873
-0.04065,8.77948
-0.04064,8.78098
-0.04063,8.78173
-0.04062,8.7831
-0.04061,8.78448
-0.0406,8.7861
-0.04059,8.78697
-0.04058,8.78785
-0.04057,8.7891
-0.04056,8.78947
-0.04055,8.79135
-0.04054,8.79272
-0.04053,8.79372
-0.04052,8.79447
-0.04051,8.79497
-0.0405,8.79659
-0.04049,8.79709
-0.04048,8.79834
-0.04047,8.80009
-0.04046,8.80084
-0.04045,8.80172
-0.04044,8.80284
-0.04043,8.80359
-0.04042,8.80434
-0.04041,8.80559
-0.0404,8.80709
-0.04039,8.80759
-0.04038,8.80871
-0.04037,8.80971
-0.04036,8.81009
-0.04035,8.81146
-0.04034,8.81234
-0.04033,8.81384
-0.04032,8.81434
-0.04031,8.81571
-0.0403,8.81621
-0.04029,8.81696
-0.04028,8.81858
-0.04027,8.81908
-0.04026,8.81996
-0.04025,8.82096
-0.04024,8.82133
-0.04023,8.82233
-0.04022,8.82271
-0.04021,8.82383
-0.0402,8.82496
-0.04019,8.82583
-0.04018,8.82683
-0.04017,8.82708
-0.04016,8.82745
-0.04015,8.82858
-0.04014,8.8297
-0.04013,8.8302
-0.04012,8.83158
-0.04011,8.83183
-0.0401,8.83258
-0.04009,8.83283
-0.04008,8.83458
-0.04007,8.8352
-0.04006,8.83608
-0.04005,8.8372
-0.04004,8.8377
-0.04003,8.83832
-0.04002,8.83882
-0.04001,8.8397
-0.04,8.84045
-0.03999,8.84195
-0.03998,8.8427
-0.03997,8.8427
-0.03996,8.8437
-0.03995,8.8442
-0.03994,8.84495
-0.03993,8.84607
-0.03992,8.84719
-0.03991,8.84844
-0.0399,8.84882
-0.03989,8.84907
-0.03988,8.84994
-0.03987,8.85119
-0.03986,8.85194
-0.03985,8.85282
-0.03984,8.85357
-0.03983,8.85382
-0.03982,8.85482
-0.03981,8.85557
-0.0398,8.85657
-0.03979,8.85794
-0.03978,8.85881
-0.03977,8.85869
-0.03976,8.85944
-0.03975,8.86056
-0.03974,8.86044
-0.03973,8.86194
-0.03972,8.86244
-0.03971,8.86344
-0.0397,8.86394
-0.03969,8.86444
-0.03968,8.86531
-0.03967,8.86556
-0.03966,8.86656
-0.03965,8.86706
-0.03964,8.86793
-0.03963,8.86893
-0.03962,8.86868
-0.03961,8.86968
-0.0396,8.87043
-0.03959,8.87131
-0.03958,8.87206
-0.03957,8.87256
-0.03956,8.87368
-0.03955,8.87343
-0.03954,8.87431
-0.03953,8.87531
-0.03952,8.87656
-0.03951,8.87718
-0.0395,8.87768
-0.03949,8.87855
-0.03948,8.87868
-0.03947,8.87955
-0.03946,8.8803
-0.03945,8.8808
-0.03944,8.88218
-0.03943,8.88255
-0.03942,8.8833
-0.03941,8.88368
-0.0394,8.8843
-0.03939,8.88518
-0.03938,8.88618
-0.03937,8.8868
-0.03936,8.8873
-0.03935,8.8878
-0.03934,8.8883
-0.03933,8.88917
-0.03932,8.88955
-0.03931,8.89092
-0.0393,8.89155
-0.03929,8.8918
-0.03928,8.89217
-0.03927,8.89292
-0.03926,8.8938
-0.03925,8.8943
-0.03924,8.89542
-0.03923,8.89555
-0.03922,8.89642
-0.03921,8.89617
-0.0392,8.89705
-0.03919,8.89742
-0.03918,8.89867
-0.03917,8.89904
-0.03916,8.89967
-0.03915,8.89967
-0.03914,8.90067
-0.03913,8.90142
-0.03912,8.90192
-0.03911,8.90254
-0.0391,8.90342
-0.03909,8.90317
-0.03908,8.90392
-0.03907,8.90467
-0.03906,8.90467
-0.03905,8.90517
-0.03904,8.90629
-0.03903,8.90642
-0.03902,8.90729
-0.03901,8.90754
-0.039,8.90829
-0.03899,8.90854
-0.03898,8.90879
-0.03897,8.90979
-0.03896,8.91004
-0.03895,8.91079
-0.03894,8.91079
-0.03893,8.91141
-0.03892,8.91229
-0.03891,8.91291
-0.0389,8.91354
-0.03889,8.91366
-0.03888,8.91416
-0.03887,8.91454
-0.03886,8.91504
-0.03885,8.91566
-0.03884,8.91591
-0.03883,8.91691
-0.03882,8.91704
-0.03881,8.91804
-0.0388,8.91804
-0.03879,8.91804
-0.03878,8.91891
-0.03877,8.91991
-0.03876,8.92028
-0.03875,8.92066
-0.03874,8.92128
-0.03873,8.92116
-0.03872,8.92141
-0.03871,8.92216
-0.0387,8.92278
