Name	Sweep	
Date	24 / 3 / 2017	
Time	18:45:28	
Instrument	FSH8 - 106469/028	
Firmware Version	V1.58	
Instrument Mode	Spectrum	
Meas Mode	Spectrum	
Uplink	- - -	
Downlink	- - -	
Channel (uplink)	- - -	
3714285.71428571	-70.5879898071289	 
3730158.73015873	-70.723014831543	 
3746031.74603175	-70.7067108154297	 
3761904.76190476	-70.5892028808594	 
3777777.77777778	-70.7562789916992	 
3793650.79365079	-70.8366012573242	 
3809523.80952381	-70.6328811645508	 
3825396.82539683	-70.9885559082031	 
3841269.84126984	-70.7271728515625	 
3857142.85714286	-71.0923614501953	 
3873015.87301587	-70.635139465332	 
3888888.88888889	-70.5699157714844	 
3904761.9047619	-70.6657562255859	 
3920634.92063492	-70.7657241821289	 
3936507.93650794	-70.8743057250977	 
3952380.95238095	-70.7669219970703	 
3968253.96825397	-70.8151321411133	 
3984126.98412698	-70.800048828125	 
4000000	-70.8157424926758	 
4015873.01587302	-70.8105926513672	 
4031746.03174603	-70.8343276977539	 
4047619.04761905	-70.8783721923828	 
4063492.06349206	-70.943962097168	 
4079365.07936508	-70.8815307617188	 
4095238.0952381	-70.7364730834961	 
4111111.11111111	-70.7887878417969	 
4126984.12698413	-71.0387573242188	 
4142857.14285714	-71.0013580322266	 
4158730.15873016	-70.8512802124023	 
4174603.17460317	-70.9734878540039	 
4190476.19047619	-71.2900772094727	 
4206349.20634921	-71.1931228637695	 
4222222.22222222	-70.8713912963867	 
4238095.23809524	-70.8911743164063	 
4253968.25396825	-71.0385437011719	 
4269841.26984127	-70.9505462646484	 
4285714.28571429	-71.1732406616211	 
4301587.3015873	-71.1720428466797	 
4317460.31746032	-71.1327209472656	 
4333333.33333333	-71.0562133789063	 
4349206.34920635	-71.2188339233398	 
4365079.36507936	-71.2176208496094	 
4380952.38095238	-70.9789733886719	 
4396825.3968254	-70.8958129882813	 
4412698.41269841	-70.9358139038086	 
4428571.42857143	-71.0885848999023	 
4444444.44444444	-71.1022262573242	 
4460317.46031746	-70.89599609375	 
4476190.47619048	-71.1659545898438	 
4492063.49206349	-71.3297271728516	 
4507936.50793651	-71.2211303710938	 
4523809.52380952	-71.2858047485352	 
4539682.53968254	-71.2283172607422	 
4555555.55555556	-71.2799682617188	 
4571428.57142857	-71.2504043579102	 
4587301.58730159	-71.4230422973633	 
4603174.6031746	-71.2690048217773	 
4619047.61904762	-71.4283142089844	 
4634920.63492064	-71.3445739746094	 
4650793.65079365	-71.4762573242188	 
4666666.66666667	-71.4117584228516	 
4682539.68253968	-71.3802719116211	 
4698412.6984127	-71.4332656860352	 
4714285.71428571	-71.4191284179688	 
4730158.73015873	-71.4207611083984	 
4746031.74603175	-71.267822265625	 
4761904.76190476	-71.4502944946289	 
4777777.77777778	-71.4497528076172	 
4793650.79365079	-71.3812026977539	 
4809523.80952381	-71.4023056030273	 
4825396.82539683	-71.1218719482422	 
4841269.84126984	-71.2426300048828	 
4857142.85714286	-71.4041748046875	 
4873015.87301587	-71.3515930175781	 
4888888.88888889	-71.0335464477539	 
4904761.9047619	-70.886100769043	 
4920634.92063492	-70.6792907714844	 
4936507.93650794	-70.4736938476563	 
4952380.95238095	-70.6098785400391	 
4968253.96825397	-70.4093856811523	 
4984126.98412698	-70.1987533569336	 
5000000	-70.1040649414063	 
5015873.01587302	-69.6970901489258	 
5031746.03174603	-69.8049011230469	 
5047619.04761905	-70.0625381469727	 
5063492.06349206	-69.7659149169922	 
5079365.07936508	-69.6932678222656	 
5095238.0952381	-69.3962478637695	 
5111111.11111111	-69.2228622436523	 
5126984.12698413	-69.1440734863281	 
5142857.14285714	-69.1269073486328	 
5158730.15873016	-69.0943756103516	 
5174603.17460317	-68.6742477416992	 
5190476.19047619	-68.6291961669922	 
5206349.20634921	-68.7335891723633	 
5222222.22222222	-68.8748321533203	 
5238095.23809524	-69.0191650390625	 
5253968.25396825	-69.1958084106445	 
5269841.26984127	-69.1707458496094	 
5285714.28571429	-69.153205871582	 
5301587.3015873	-69.4253921508789	 
5317460.31746032	-69.4035797119141	 
5333333.33333333	-69.4961013793945	 
5349206.34920635	-69.8085327148438	 
5365079.36507936	-69.9074325561523	 
5380952.38095238	-69.7744598388672	 
5396825.3968254	-69.9399032592773	 
5412698.41269841	-70.0286254882813	 
5428571.42857143	-70.0514831542969	 
5444444.44444444	-70.2435684204102	 
5460317.46031746	-70.3835830688477	 
5476190.47619048	-70.3943557739258	 
5492063.49206349	-70.4655990600586	 
5507936.50793651	-70.6159286499023	 
5523809.52380952	-70.7680282592773	 
5539682.53968254	-70.9549942016602	 
5555555.55555556	-71.0458602905273	 
5571428.57142857	-70.8827438354492	 
5587301.58730159	-70.6449966430664	 
5603174.6031746	-70.8797760009766	 
5619047.61904762	-71.0094757080078	 
5634920.63492064	-71.2822647094727	 
5650793.65079365	-71.3249588012695	 
5666666.66666667	-71.3073806762695	 
5682539.68253968	-71.4411010742188	 
5698412.6984127	-71.6298370361328	 
5714285.71428571	-71.5207672119141	 
5730158.73015873	-71.4829940795898	 
5746031.74603175	-71.8177337646484	 
5761904.76190476	-71.4982757568359	 
5777777.77777778	-71.6937408447266	 
5793650.79365079	-71.7032470703125	 
5809523.80952381	-71.9142761230469	 
5825396.82539683	-71.697509765625	 
5841269.84126984	-71.5237808227539	 
5857142.85714286	-71.7450866699219	 
5873015.87301587	-71.7308197021484	 
5888888.88888889	-71.6678771972656	 
5904761.9047619	-71.4962997436523	 
5920634.92063492	-71.1953048706055	 
5936507.93650794	-71.3443450927734	 
5952380.95238095	-71.7160568237305	 
5968253.96825397	-71.6879806518555	 
5984126.98412698	-71.734245300293	 
6000000	-71.8015213012695	 
6015873.01587302	-71.8679351806641	 
6031746.03174603	-71.7442016601563	 
6047619.04761905	-72.0021362304688	 
6063492.06349206	-72.1783294677734	 
6079365.07936508	-72.0119476318359	 
6095238.0952381	-71.9962768554688	 
6111111.11111111	-72.055549621582	 
6126984.12698413	-72.1232681274414	 
6142857.14285714	-72.1177673339844	 
6158730.15873016	-71.9551391601563	 
6174603.17460317	-72.0188827514648	 
6190476.19047619	-71.8829956054688	 
6206349.20634921	-71.9358062744141	 
6222222.22222222	-72.1003189086914	 
6238095.23809524	-72.0396423339844	 
6253968.25396825	-72.0769348144531	 
6269841.26984127	-72.1517486572266	 
6285714.28571429	-71.962776184082	 
6301587.3015873	-72.0564422607422	 
6317460.31746032	-72.0948867797852	 
6333333.33333333	-72.0433197021484	 
6349206.34920635	-72.1657257080078	 
6365079.36507936	-72.0780258178711	 
6380952.38095238	-72.0871047973633	 
6396825.3968254	-72.2791900634766	 
6412698.41269841	-72.2794647216797	 
6428571.42857143	-72.1700286865234	 
6444444.44444444	-72.1339950561523	 
6460317.46031746	-72.2029418945313	 
6476190.47619048	-71.9962768554688	 
6492063.49206349	-71.7539443969727	 
6507936.50793651	-71.9087295532227	 
6523809.52380952	-71.9831466674805	 
6539682.53968254	-72.0240020751953	 
6555555.55555556	-72.0162963867188	 
6571428.57142857	-72.028564453125	 
6587301.58730159	-71.951171875	 
6603174.6031746	-71.787353515625	 
6619047.61904762	-71.6271591186523	 
6634920.63492064	-71.8251800537109	 
6650793.65079365	-72.0972137451172	 
6666666.66666667	-72.0160446166992	 
